ID,Name,Age,Gender,Country,Date of Joining,Salary,Department,Performance Score,Active
12696,Daniel Stevens,52,M,Timor-Leste,2022-07-10,44104.79,Finance,9,True
12697,Nicole Oliver,41,F,Guadeloupe,2024-03-22,100954.77,Marketing,5,False
12698,Vanessa Johnson,57,M,Afghanistan,2017-07-20,78357.15,Sales,5,True
12699,Michelle Mora,52,M,Mayotte,2017-03-18,108835.8,Engineering,4,True
12700,Robert Garcia,64,M,Madagascar,2022-12-07,95152.86,Finance,9,True
12701,Tiffany Harrison,37,F,Samoa,2015-01-22,39657.73,Marketing,5,False
12702,Mrs. Ashley Camacho DDS,56,F,Kuwait,2017-08-02,91560.22,Engineering,6,False
12703,Brandon Farley,39,M,Uganda,2015-07-18,108556.35,Marketing,6,True
12704,Timothy Moore,39,F,Belize,2023-07-08,69779.85,HR,8,True
12705,Robert Matthews,37,M,Samoa,2016-12-14,54573.73,Marketing,9,False
12706,Adam Ballard,25,F,Liberia,2022-07-20,106671.06,Marketing,9,False
12707,William Rodriguez,19,F,Cocos (Keeling) Islands,2022-08-01,86931.6,HR,8,True
12708,Samantha Robinson,36,M,Bouvet Island (Bouvetoya),2024-08-18,77532.39,HR,1,True
12709,Jacob Morales,58,F,Montserrat,2020-11-05,32591.91,Marketing,8,True
12710,Gina Bates DDS,29,M,Gabon,2018-09-19,73887.21,Sales,8,False
12711,Jonathan Bryan,45,F,Luxembourg,2022-04-02,40225.96,HR,9,True
12712,John Spencer,23,F,Palestinian Territory,2017-12-22,98393.94,Marketing,5,False
12713,Christy Petty,59,M,United States of America,2019-11-01,36410.13,Engineering,2,False
12714,Brandy Norris,21,F,Isle of Man,2019-05-05,75859.18,Finance,7,False
12715,Carrie Whitaker,21,F,Moldova,2023-09-30,49615.27,HR,6,True
12716,Nicole Murray,52,F,Central African Republic,2019-04-05,113204.26,Finance,6,True
12717,Tracy Copeland,41,M,Croatia,2022-05-12,88428.7,HR,6,False
12718,William Silva,63,M,Costa Rica,2018-08-03,41636.21,Marketing,5,False
12719,Laurie Holmes,60,F,Luxembourg,2015-04-07,50808.25,Marketing,3,True
12720,Sheila Crane,42,F,Jamaica,2020-04-21,41600.25,Finance,6,True
12721,Mrs. Stephanie Rangel,58,F,Latvia,2018-10-29,113054.42,Engineering,4,True
12722,Donald Williams MD,20,F,Montenegro,2018-03-08,73666.92,Engineering,5,False
12723,Tammy Herman,19,M,Georgia,2019-10-09,71780.29,Engineering,5,False
12724,Rebekah Ryan,44,F,Italy,2019-06-01,84913.55,Finance,8,True
12725,John Bryant,61,M,Cayman Islands,2020-08-08,76438.02,Finance,2,False
12726,Audrey Gomez,50,M,Israel,2018-02-23,37686.66,HR,2,False
12727,Sandra Hines,38,M,Ireland,2019-11-14,84641.06,Marketing,1,False
12728,Jeffrey Grant,35,F,Greece,2022-05-24,106364.1,Sales,4,False
12729,Kayla Stewart,50,F,Myanmar,2019-02-26,113109.94,Finance,2,False
12730,Curtis Fisher DVM,32,M,Turkmenistan,2023-05-24,114595.34,HR,6,False
12731,Suzanne Aguilar,62,M,Bosnia and Herzegovina,2015-12-28,94649.52,Sales,6,False
12732,James Davis,39,M,Sao Tome and Principe,2020-03-25,41358.51,HR,9,False
12733,Michael Austin,56,M,Morocco,2019-01-14,34845.97,Marketing,6,False
12734,John Beck,48,F,Panama,2022-10-31,54120.6,Marketing,4,True
12735,Allison Porter,35,F,Poland,2019-12-13,118305.85,Engineering,9,False
12736,Paul Rhodes,54,F,Gabon,2019-12-24,57388.38,Finance,8,True
12737,Joseph Freeman,48,M,Uruguay,2016-02-24,59254.35,Sales,2,True
12738,Mark Wilson,32,F,Luxembourg,2024-01-27,53328.11,HR,6,True
12739,Kathleen Peters,62,F,Kyrgyz Republic,2020-04-24,79587.87,Sales,7,True
12740,Mark Harris,28,F,Benin,2023-08-07,52598.47,Engineering,4,False
12741,James Burke,26,F,Korea,2020-06-24,95279.95,Engineering,5,False
12742,Jonathan Grant,36,M,Maldives,2023-05-07,57262.34,HR,9,True
12743,Maxwell Foster,47,M,Greenland,2020-08-10,71314.93,Sales,2,True
12744,Jacob Johnson,45,F,Romania,2015-11-30,64977.8,Sales,3,False
12745,David Reeves,60,F,Burkina Faso,2021-02-03,84646.62,Finance,2,True
12746,Suzanne Barnes,50,F,Austria,2018-07-08,72527.24,Marketing,5,True
12747,Jennifer Cunningham,36,M,Jamaica,2017-08-07,92743.35,HR,5,False
12748,Leslie Mendez,47,M,Lao People's Democratic Republic,2015-04-29,111482.44,Sales,9,True
12749,Timothy Martinez,55,M,Aruba,2015-08-24,108221.85,HR,9,False
12750,Susan Terry,55,M,Djibouti,2021-10-08,59518.46,Sales,2,False
12751,Wendy Gomez,56,F,Belize,2018-09-29,62616.44,Engineering,4,False
12752,Chloe Hoffman,24,M,Mexico,2023-07-01,103452.04,Engineering,1,False
12753,Andrew Watson,29,F,Holy See (Vatican City State),2016-01-10,95801.51,Finance,5,True
12754,Melissa Jacobs,33,F,Georgia,2016-02-05,68730.4,Sales,7,False
12755,Amy White,20,F,Slovenia,2021-04-21,70179.77,Engineering,8,False
12756,Kelly Lee,62,M,Micronesia,2022-04-04,41561.9,Sales,1,False
12757,Madison David,27,F,Germany,2016-06-20,99249.83,Sales,1,True
12758,William Duffy,62,F,Madagascar,2021-09-23,41685.08,Marketing,1,True
12759,Sabrina Davis,51,F,Maldives,2016-03-14,55694.6,Finance,6,True
12760,Lauren Goodwin,42,F,Italy,2015-06-14,60435.62,Marketing,8,False
12761,Donna Becker,48,M,Sierra Leone,2018-12-16,82429.86,Engineering,4,True
12762,Renee Luna,24,F,Norway,2024-05-03,44680.04,Sales,7,False
12763,Dale Reynolds,50,M,Costa Rica,2019-02-20,30574.27,Marketing,5,True
12764,Tammy Moore,21,M,Vanuatu,2018-03-17,80149.73,Finance,9,True
12765,Harold Sanders,31,F,Taiwan,2018-11-14,99673.91,Finance,8,True
12766,Thomas Burch,45,F,Tajikistan,2022-07-14,105270.68,Sales,3,True
12767,Lisa Graham,58,F,Czech Republic,2018-02-27,90320.24,HR,9,False
12768,Kara Li,32,F,Tokelau,2021-06-25,43779.2,HR,4,False
12769,Joseph Hinton,18,F,Marshall Islands,2021-10-08,59556.14,Engineering,9,False
12770,Adriana Klein,19,F,Argentina,2015-08-11,31455.2,Marketing,2,True
12771,Christopher Case,61,M,Tunisia,2015-04-10,40554.42,Finance,9,False
12772,Allison Mejia,47,F,China,2017-03-01,51300.14,Engineering,5,False
12773,Dr. Megan Moyer DVM,27,M,Fiji,2018-12-21,100681.29,Engineering,2,True
12774,Rebecca Villa,56,M,Guernsey,2017-06-21,59275.68,Finance,7,True
12775,Erin Bishop,53,M,Estonia,2020-05-30,80142.31,HR,5,False
12776,Rebecca Fuentes,30,M,Svalbard & Jan Mayen Islands,2022-01-20,98271.8,Finance,2,True
12777,Dakota Whitaker,25,M,Guatemala,2016-01-15,30842.99,Marketing,9,False
12778,Wendy Ruiz,31,F,Estonia,2024-09-11,62275.46,Marketing,3,False
12779,Kyle Davis,44,F,Suriname,2020-11-12,82096.89,Sales,6,False
12780,Mary Wolfe,40,M,Fiji,2015-11-17,36966.97,Engineering,9,False
12781,Elizabeth Allen,33,F,New Zealand,2022-06-05,49075.76,Engineering,7,True
12782,Spencer Jones,44,F,Korea,2016-09-10,57195.34,Sales,8,False
12783,Pamela Delacruz,64,M,Philippines,2015-08-22,54528.06,Engineering,2,False
12784,Amber Smith,56,F,Lao People's Democratic Republic,2016-03-08,42239.23,Sales,1,False
12785,Mr. Joshua Moore MD,44,M,Jamaica,2019-06-21,94912.87,Marketing,3,True
12786,Chase Morton,28,F,Gibraltar,2021-04-21,42557.3,Marketing,9,True
12787,Sara Hunter,57,F,Bahrain,2020-12-06,72305.61,HR,3,False
12788,Amanda Howard,53,F,Guernsey,2021-04-27,75360.62,Marketing,6,True
12789,Haley Serrano,21,F,Lithuania,2020-09-10,68144.85,Finance,6,False
12790,Renee Davis,25,M,Morocco,2019-05-20,38714.65,Finance,8,True
12791,Carlos Bailey,55,F,Zambia,2024-06-11,36212.39,Marketing,6,False
12792,Taylor Osborn,22,F,Equatorial Guinea,2016-02-10,49792.94,HR,5,True
12793,Debra Bennett,63,M,Macedonia,2016-11-28,40830.37,HR,9,False
12794,Michael Anderson MD,22,M,Dominican Republic,2015-01-25,84230.54,HR,2,True
12795,Todd Hayes,29,M,Malaysia,2019-08-17,83699.9,Engineering,5,True
12796,Samuel Rodriguez,20,M,Guyana,2022-12-03,78237.47,HR,1,True
12797,Kelly Davis,55,F,Morocco,2021-01-05,33672.8,Engineering,3,True
12798,Peter Fisher,61,F,Egypt,2018-02-04,31439.54,Sales,5,True
12799,Bradley Rodriguez,41,F,Sierra Leone,2015-02-20,65264.69,Engineering,5,False
12800,Andrew Smith,39,M,Bahamas,2017-07-06,110583.41,Marketing,2,False
12801,William Collins,39,M,Mongolia,2017-03-20,62856.43,Finance,8,True
12802,Julia Warner,64,M,Seychelles,2019-03-24,95693.95,Finance,2,False
12803,Pamela Simon,32,F,Gambia,2021-08-03,33555.48,HR,9,False
12804,Kathleen Lawson,23,M,Dominican Republic,2015-05-04,93309.64,Engineering,2,False
12805,Brian Sanchez,36,F,New Caledonia,2021-07-07,113242.58,Engineering,3,True
12806,Anthony Harris,43,F,Armenia,2020-01-12,79180.76,Sales,4,False
12807,Matthew Mcgee,41,F,Sweden,2023-06-27,43260.83,Engineering,3,False
12808,Danielle Moss,19,M,Cape Verde,2017-05-12,60633.16,Sales,6,False
12809,Casey Bush,30,F,Monaco,2014-10-30,67570.85,HR,1,True
12810,Monica Graham,25,F,Latvia,2023-10-02,81688.81,Sales,8,True
12811,Edward Walton,62,F,Solomon Islands,2022-09-24,107466.21,Finance,1,False
12812,Michael Gibbs,61,F,Mauritania,2024-09-26,53073.21,Engineering,1,False
12813,Andrea Smith,57,F,Equatorial Guinea,2015-05-03,105335.61,Sales,2,True
12814,Patricia Molina,49,M,Ecuador,2020-07-10,84451.26,HR,9,False
12815,Lori French,56,M,Syrian Arab Republic,2018-01-25,92915.34,Finance,3,True
12816,Christopher Hill,50,F,Cook Islands,2015-04-16,66152.96,Engineering,9,False
12817,Margaret Martinez,35,M,Egypt,2020-12-02,61195.98,Engineering,5,False
12818,Kimberly Chandler,46,F,Northern Mariana Islands,2017-02-27,85042.29,HR,1,True
12819,Kathleen Sanchez,59,F,San Marino,2021-11-02,77727.13,Sales,5,False
12820,Alec Blair,62,F,Palestinian Territory,2021-05-18,50326.82,Sales,4,True
12821,Victoria Robinson,30,M,Congo,2020-01-29,114307.18,HR,2,False
12822,Eric Weaver,41,M,Czech Republic,2022-08-22,40419.39,Finance,8,False
12823,David Mcguire,32,M,South Georgia and the South Sandwich Islands,2024-09-02,99779.84,Sales,5,False
12824,Jamie Williams,34,M,Uzbekistan,2016-04-20,54388.49,Finance,1,False
12825,Michael Mitchell,49,F,Iraq,2022-01-22,59077.72,Finance,5,True
12826,Jacqueline Brown,26,M,Nepal,2014-11-13,106521.71,Marketing,1,False
12827,Lauren Woods,19,M,Belize,2017-03-20,107916.94,HR,1,True
12828,Monica Smith,51,F,Gibraltar,2018-06-18,117105.65,Finance,5,False
12829,Ronald Watson,44,F,Yemen,2020-08-25,87393.2,Sales,9,True
12830,Anna Lewis MD,33,M,Andorra,2022-05-18,91277.15,Finance,9,True
12831,Amy Moore,53,M,Austria,2020-04-15,105953.26,Finance,2,False
12832,Jessica Moore,43,M,Kuwait,2016-04-11,39275.99,Marketing,1,True
12833,Kurt Swanson,37,F,Botswana,2021-07-13,59898.1,Sales,2,True
12834,Virginia Smith,34,F,Ghana,2016-11-26,88759.67,Marketing,4,False
12835,Katrina Armstrong,34,F,Haiti,2022-11-26,74193.3,Finance,7,True
12836,James Gregory,62,M,Northern Mariana Islands,2014-11-06,103779.48,Marketing,6,True
12837,Kyle Gonzalez,34,F,Armenia,2022-11-06,72534.53,Marketing,6,True
12838,Kenneth Scott,55,F,Greenland,2017-08-12,64994.17,HR,8,False
12839,Crystal Pierce,42,F,Sri Lanka,2022-04-04,114630.16,Marketing,6,False
12840,Kelly Douglas,51,M,New Caledonia,2017-01-19,96566.01,Engineering,5,True
12841,Angela Thompson,20,F,Micronesia,2020-08-20,100807.06,HR,6,False
12842,Jordan Henderson,35,F,Korea,2020-07-09,53635.95,HR,8,False
12843,Amy Harrison,50,M,British Virgin Islands,2023-08-20,35068.48,HR,2,False
12844,Jennifer Taylor,28,F,Maldives,2015-12-22,51279.63,Sales,2,True
12845,Stefanie Bailey,56,M,Dominica,2016-05-19,77169.64,HR,6,True
12846,Stephen Taylor,25,M,Swaziland,2018-10-14,116216.55,Engineering,5,False
12847,Susan Palmer,40,M,Serbia,2019-10-19,51676.91,Sales,9,True
12848,Alexandra Young,18,F,San Marino,2018-06-07,62955.22,Engineering,2,False
12849,Erin Hernandez,58,M,Hong Kong,2024-06-11,41288.19,Finance,1,True
12850,Denise Barrett,43,M,Tokelau,2015-04-10,88726.33,HR,5,False
12851,Robert Henderson,39,M,Argentina,2017-07-28,52862.12,HR,1,True
12852,Susan Ball,48,M,Cameroon,2014-10-22,100253.71,Sales,7,True
12853,Lance Wu,19,M,Samoa,2021-07-12,112261.5,Sales,4,False
12854,Frank Baxter,45,M,Canada,2016-09-17,80200.25,HR,6,False
12855,Kevin Key Jr.,62,M,Tonga,2024-03-26,113030.16,Engineering,7,True
12856,Jennifer Smith,28,F,Seychelles,2023-09-19,64790.86,HR,9,True
12857,Rebecca Willis,39,F,United States of America,2023-12-31,84422.16,HR,4,True
12858,Stacy Castro,31,F,Peru,2021-05-06,96598.81,Engineering,4,True
12859,Ricardo Johnson,32,F,Kuwait,2015-05-07,78508.43,Engineering,1,False
12860,Kara Buchanan,45,F,Bhutan,2024-06-20,52761.83,Finance,1,False
12861,Leslie Cook,58,M,Mauritania,2021-10-06,100325.98,Marketing,5,True
12862,Kelly Flowers,42,M,Afghanistan,2022-11-19,112072.78,Engineering,5,True
12863,Tyler Williams,45,F,Luxembourg,2023-01-24,60097.41,Sales,3,False
12864,Joseph Moore,62,M,Norway,2015-01-16,100313.25,Finance,9,False
12865,Jessica Howell,56,F,Lithuania,2015-09-13,99536.57,Finance,6,False
12866,James Thornton,42,M,Somalia,2015-08-13,84408.38,Engineering,6,True
12867,Amanda Cook,41,F,Aruba,2020-07-30,63116.22,Sales,2,True
12868,David Roberts,46,F,Macao,2017-09-25,67910.68,Sales,5,True
12869,Lisa Moore,25,M,Russian Federation,2022-02-06,55740.58,Finance,8,True
12870,Phillip Shaw,56,M,French Guiana,2020-09-28,49654.34,Finance,5,True
12871,Lauren Floyd,37,F,Bangladesh,2020-04-16,85218.76,Engineering,6,True
12872,Jose Nichols,51,F,Montenegro,2021-03-19,37472.11,Finance,1,True
12873,Herbert Clay,26,F,Tanzania,2023-08-17,83088.61,Finance,6,False
12874,Alex Wheeler,36,F,Israel,2021-04-18,82963.81,Finance,7,False
12875,Thomas Carrillo,35,M,Saint Kitts and Nevis,2020-12-24,116709.27,Engineering,6,False
12876,Brian Carney,45,F,Afghanistan,2018-08-14,74259.84,Engineering,6,True
12877,Karen Fuller,23,F,Senegal,2016-09-19,47846.34,Engineering,3,False
12878,Mrs. Tiffany Goodwin,53,M,Russian Federation,2019-10-16,98848.38,Sales,8,False
12879,Rachel Bailey,52,F,Tokelau,2020-05-14,112561.05,HR,7,False
12880,Michelle Wells,54,F,Montenegro,2021-04-16,112241.4,Engineering,3,True
12881,Sarah Harmon,62,F,Cote d'Ivoire,2020-08-01,118382.0,Marketing,7,False
12882,Brian Brown,24,M,United States Minor Outlying Islands,2018-07-25,31852.42,Engineering,2,True
12883,Heather Wang,34,F,Kenya,2024-03-28,42886.73,HR,4,False
12884,Mark Gibson,53,F,Egypt,2015-06-03,44811.05,Marketing,4,True
12885,Laura Harris,28,M,San Marino,2017-10-22,118951.97,Engineering,7,True
12886,Jacob Garcia,27,M,French Guiana,2019-10-08,91421.8,HR,7,True
12887,Lawrence Delgado,31,F,Saint Pierre and Miquelon,2016-06-02,64449.42,HR,5,False
12888,John Mccarthy,45,M,Palau,2022-07-26,54077.84,Finance,5,False
12889,Jack Cannon,41,M,Antarctica (the territory South of 60 deg S),2020-06-20,63482.33,HR,2,False
12890,Terry Shields,33,F,Saint Kitts and Nevis,2024-01-22,48699.25,Engineering,1,False
12891,Jeremy Miller,62,M,Syrian Arab Republic,2024-07-13,30376.84,Sales,2,True
12892,Joseph Gilmore DDS,32,M,Nepal,2024-03-01,95475.42,Marketing,4,True
12893,Jason Sanchez,47,M,Burkina Faso,2020-08-22,44458.98,HR,8,False
12894,John Hunter,28,F,Mali,2015-03-21,38810.6,Engineering,4,False
12895,Edward Gordon,25,F,Norfolk Island,2021-08-18,42560.65,HR,2,False
12896,Bonnie Morgan,44,M,Saudi Arabia,2024-10-09,89188.32,Sales,5,True
12897,Laura Wilkerson,28,F,Macao,2018-07-02,88050.32,Engineering,9,False
12898,Karen Farmer,36,M,Costa Rica,2015-07-27,118180.93,Marketing,6,True
12899,Heather Cruz,30,F,Libyan Arab Jamahiriya,2022-06-04,73571.73,HR,6,False
12900,Christine Hutchinson,38,M,Spain,2022-06-17,50865.0,Engineering,5,True
12901,Benjamin Stewart,36,M,Martinique,2019-11-02,113088.05,Sales,3,True
12902,James Peterson,22,M,Saint Vincent and the Grenadines,2024-08-29,50119.79,Engineering,3,False
12903,Mary Krueger,19,M,Kenya,2018-11-22,67786.61,Engineering,5,False
12904,Jeffrey Miller,57,F,South Georgia and the South Sandwich Islands,2022-09-03,39458.1,Sales,2,True
12905,Edward Alexander,54,M,South Georgia and the South Sandwich Islands,2019-10-06,106022.58,Marketing,7,False
12906,Sharon Rojas,55,M,Cook Islands,2021-12-14,35435.85,Marketing,2,True
12907,Stephen Thompson,49,F,Isle of Man,2019-07-20,64623.75,Engineering,3,False
12908,Emily Colon,50,F,Sudan,2018-07-16,68682.44,Finance,8,False
12909,Thomas Johnson,41,M,Chad,2017-09-05,48009.78,Marketing,2,True
12910,Steven Jones,24,F,Montenegro,2021-03-02,70284.93,Marketing,4,True
12911,Amy Lopez,22,F,Congo,2024-05-13,63889.09,Sales,7,False
12912,Kayla Ware,47,M,Cook Islands,2023-12-25,114931.3,Marketing,9,True
12913,Amy Hill,30,F,Brazil,2018-02-16,109375.35,HR,5,False
12914,Maria Archer,40,M,India,2016-05-08,75835.48,Finance,2,True
12915,Shannon Cobb,49,M,Tunisia,2015-12-03,105159.88,Finance,7,False
12916,Courtney Fernandez,34,F,Togo,2015-02-25,91245.63,Finance,6,False
12917,Jessica Walton,51,F,Madagascar,2021-08-02,81207.26,Marketing,6,False
12918,Debra Peters,47,F,Rwanda,2015-10-13,112021.25,Sales,8,True
12919,Richard Rivera,50,F,Gabon,2015-04-13,105597.6,Engineering,6,False
12920,Brenda Navarro,44,M,Sudan,2023-12-26,111732.73,HR,1,False
12921,Vickie Brown,21,M,Jordan,2017-09-23,114910.68,Sales,4,False
12922,Heather Castillo,61,M,Yemen,2015-10-04,110897.2,Finance,2,True
12923,Michelle Koch,23,M,Slovenia,2024-10-12,98126.19,Sales,9,True
12924,Jaclyn Williams,26,M,Cook Islands,2017-08-11,66052.59,Finance,7,True
12925,Catherine Collins,28,M,Bermuda,2017-07-27,59901.27,Engineering,9,False
12926,Rebecca Blair,29,M,Bouvet Island (Bouvetoya),2015-08-17,93463.22,Marketing,9,False
12927,Diana Tanner,49,F,Afghanistan,2021-08-08,104790.02,Finance,1,True
12928,Nathan Gonzalez,21,F,Cyprus,2016-01-31,56689.78,Finance,5,False
12929,Casey Webb,20,F,Guinea-Bissau,2018-04-29,62795.12,Engineering,4,False
12930,Dana Scott,26,F,Lebanon,2014-10-29,50817.28,Sales,2,False
12931,Helen West,30,F,Saint Lucia,2020-01-09,63389.67,Finance,3,False
12932,Samantha Carpenter,60,M,Benin,2017-09-18,33067.44,Engineering,7,False
12933,Kimberly Mays,24,F,Uganda,2023-06-17,97933.6,Engineering,7,True
12934,Matthew Kim,45,M,Slovakia (Slovak Republic),2023-09-29,108270.32,HR,9,False
12935,Angela Ford,48,M,Mexico,2015-12-02,63351.41,Engineering,2,True
12936,Melissa Collins,43,F,Niger,2022-07-30,75447.05,Marketing,3,False
12937,Amanda Wolf,32,F,Antarctica (the territory South of 60 deg S),2024-02-10,44530.82,Sales,7,False
12938,Clarence Meyer,64,F,Gambia,2022-08-23,67806.49,Marketing,2,True
12939,Tara Jones,38,F,Holy See (Vatican City State),2023-04-29,64541.04,Engineering,1,True
12940,Eric Sherman Jr.,24,M,Ireland,2023-11-18,79406.83,Engineering,5,False
12941,Amy Romero,55,F,Monaco,2021-09-07,77820.54,Engineering,4,True
12942,Matthew Rodriguez,29,F,Jordan,2016-04-11,46162.01,Marketing,4,False
12943,Jeff Andrews,38,M,Guatemala,2016-12-04,115810.89,Sales,6,False
12944,Laura Wong,64,M,Netherlands Antilles,2020-05-18,48895.6,Marketing,8,True
12945,Sarah Adams,18,M,French Guiana,2024-03-16,63322.83,Sales,7,True
12946,Sean Wilson,46,M,Cayman Islands,2023-02-02,34478.63,HR,4,False
12947,Lisa Smith,44,F,El Salvador,2023-07-16,54189.97,Engineering,3,False
12948,Robert Chan,42,F,United Arab Emirates,2016-09-29,30471.54,Engineering,5,True
12949,Joel Gomez,57,M,Tonga,2018-08-07,73940.15,Engineering,9,False
12950,Jessica Smith,59,M,Hong Kong,2019-04-21,45394.74,Marketing,3,True
12951,Lorraine Hendricks,55,M,Turkmenistan,2016-06-08,37264.08,HR,8,True
12952,Robert Richardson,34,F,Ghana,2024-05-08,60893.83,HR,9,False
12953,Mr. Douglas Jennings,34,M,New Caledonia,2018-08-23,105083.08,Sales,4,False
12954,Sarah Smith,27,F,Antigua and Barbuda,2017-10-11,75433.76,Finance,8,False
12955,David Weeks,30,M,Cambodia,2019-01-09,102506.52,Sales,9,False
12956,Steven Castro,51,M,Trinidad and Tobago,2024-01-18,106416.63,HR,3,False
12957,Jennifer Hull,41,M,United States of America,2020-10-07,108775.91,Finance,9,True
12958,Matthew Nichols,27,F,Georgia,2018-02-03,47091.06,HR,2,True
12959,Jennifer Tran,42,M,Greece,2019-12-03,66610.54,Sales,4,True
12960,Cassandra Terrell,57,M,Yemen,2021-04-16,58865.66,Sales,3,False
12961,Theresa Torres,57,M,New Zealand,2022-09-06,35251.46,Sales,8,True
12962,Sheila Mayer,59,M,Macao,2023-11-06,37311.75,Marketing,4,False
12963,Andrew Smith,22,F,Lesotho,2016-02-16,111115.76,Engineering,6,True
12964,Michael Houston,41,F,Cameroon,2017-04-16,56155.83,Marketing,5,False
12965,George Cannon,63,M,Grenada,2016-09-25,115030.12,Finance,9,True
12966,Hannah Lee,52,F,Saint Vincent and the Grenadines,2023-08-26,58271.54,Engineering,1,False
12967,Edward Armstrong,29,M,Armenia,2015-10-03,79428.11,Finance,9,True
12968,Carolyn Cameron,21,M,French Southern Territories,2016-11-16,56144.52,Marketing,6,False
12969,Donna Nelson,46,F,Azerbaijan,2020-09-07,62325.0,Finance,4,True
12970,Heather Good,57,M,Christmas Island,2016-01-06,78846.45,Engineering,4,False
12971,David Lopez,41,M,Cocos (Keeling) Islands,2024-05-29,112796.9,Sales,7,False
12972,Sean Lopez,64,F,Philippines,2023-06-11,82272.53,HR,5,False
12973,William Garcia,43,F,Kenya,2016-07-08,86519.64,Marketing,8,False
12974,Jonathan Hughes,31,F,Sri Lanka,2023-05-31,32190.59,HR,7,False
12975,Justin Dominguez,18,F,Niger,2018-12-02,89777.57,Finance,6,False
12976,Jessica Hunter,64,F,Sao Tome and Principe,2024-06-12,94679.48,Marketing,8,True
12977,Joel Gates,53,M,Guadeloupe,2020-12-23,41127.1,Sales,7,True
12978,Christopher Russell,23,M,Netherlands Antilles,2024-06-03,52978.83,HR,8,False
12979,Ashley Salazar,52,M,Equatorial Guinea,2016-05-24,38310.25,HR,7,True
12980,Christian Davis,52,F,Isle of Man,2019-11-23,77596.57,Finance,8,True
12981,Mrs. Ashley Nguyen,54,F,Zambia,2021-08-21,71111.1,Marketing,7,False
12982,Rhonda Werner,36,F,Bangladesh,2022-08-03,111962.36,HR,9,False
12983,Kenneth Harrison,34,F,Sri Lanka,2016-06-27,48302.57,Sales,3,True
12984,Derek Gonzalez,21,F,Malta,2016-12-08,112203.22,HR,3,True
12985,Holly Owens,61,M,Bahamas,2023-04-06,66256.16,Sales,4,False
12986,Stephen Porter,44,F,Myanmar,2022-08-29,108038.36,Marketing,9,False
12987,Amy Rivera,34,M,New Zealand,2019-12-25,118579.63,Sales,4,True
12988,Joseph Gregory,44,F,Central African Republic,2020-11-28,59523.53,HR,7,False
12989,Zachary Hayes,41,F,Cuba,2018-12-31,54165.55,HR,3,True
12990,Melissa Miller,64,F,Heard Island and McDonald Islands,2021-08-11,74938.0,HR,5,True
12991,Stephen Vazquez,20,M,Serbia,2017-03-21,68004.7,HR,7,True
12992,Timothy Lee,53,F,Rwanda,2021-09-12,60016.93,HR,2,False
12993,Anthony Cox,20,M,Ghana,2024-05-19,93843.13,HR,7,True
12994,Cathy Rodriguez,45,M,United States Minor Outlying Islands,2023-10-13,63850.13,Marketing,4,True
12995,Matthew Johnson,22,F,Bahrain,2023-09-27,43649.56,HR,9,False
12996,Sean Jones,49,M,Gibraltar,2018-08-13,72341.19,HR,7,True
12997,Anna Henderson,20,M,Sudan,2018-04-09,89093.55,HR,3,False
12998,Michael Martin,34,F,Austria,2016-01-18,84037.27,Marketing,6,True
12999,Robert Rogers,50,M,Kiribati,2017-08-04,93757.63,Marketing,2,True
13000,Ashley Gutierrez,49,M,Marshall Islands,2016-05-28,86694.65,Marketing,3,False
13001,Shirley Conrad,27,F,Montserrat,2015-03-24,50421.74,Sales,1,True
13002,Hunter Reed,59,F,Maldives,2018-01-14,65019.8,Marketing,7,False
13003,Brittany Melton,63,M,Saint Kitts and Nevis,2017-09-04,105529.1,Sales,2,False
13004,Benjamin Griffith,22,F,Ireland,2022-11-22,83990.34,Engineering,1,True
13005,Michael Foster,44,M,Micronesia,2021-08-21,35585.27,Sales,9,False
13006,James Bruce,51,F,Iceland,2023-01-16,37648.91,Finance,5,True
13007,Steven Stafford,59,F,Brunei Darussalam,2015-12-29,63323.47,Engineering,4,True
13008,Gary Young,41,F,Niger,2022-10-14,109826.45,Sales,7,True
13009,Stephen Ramirez,26,F,Morocco,2018-08-11,52853.9,Sales,9,False
13010,Ashley Andersen,28,F,Sri Lanka,2017-08-23,99988.21,Engineering,2,False
13011,Adam Smith,58,F,Saint Kitts and Nevis,2020-01-04,104720.53,Sales,5,False
13012,Haley Wood,42,F,Philippines,2016-03-01,110926.86,Marketing,8,True
13013,Zachary Barnes,63,F,Estonia,2017-04-01,67354.7,Marketing,6,False
13014,Melissa Wilson,61,F,Benin,2020-07-04,106770.5,Engineering,2,False
13015,Lisa Burton,55,F,Turks and Caicos Islands,2022-01-24,96407.41,Finance,1,False
13016,Edward Hicks,47,F,Congo,2016-02-26,35464.49,Engineering,4,True
13017,Theresa Bailey,32,M,Indonesia,2015-09-19,71275.93,Marketing,6,False
13018,Julie Howe,52,F,Vanuatu,2022-10-02,50281.1,HR,2,False
13019,Stephen Delacruz,19,F,Sri Lanka,2022-09-28,32439.29,HR,5,True
13020,Jason Dawson,61,F,British Virgin Islands,2021-12-01,70909.62,Sales,2,False
13021,Rebecca George,39,F,Gibraltar,2019-09-28,66835.64,Sales,9,False
13022,Lauren Martin,48,M,Canada,2024-04-01,70636.61,Sales,4,False
13023,Kevin Hunt,19,F,Nicaragua,2015-03-04,84395.15,Sales,1,False
13024,Kristi Mcdaniel,47,M,Nigeria,2020-02-03,114281.86,Engineering,1,True
